,Course_ID,Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5)
0,1.0,Course_1,Office Tools,21.0,4217.0,50.64682700093039,Coursera,38.79742459354726,4.811251609761661
1,2.0,Course_2,Office Tools,57.0,4238.0,82.24023980407608,edX,160.6509909078542,3.829329393519929
2,3.0,Course_3,Technology,52.0,2700.0,55.72902846441631,LinkedIn Learning,123.5037809574659,4.851950080367606
3,,Course_4,Office Tools,69.0,4308.0,58.664729433480446,LinkedIn Learning,116.77570388204671,3.913731844246669
4,5.0,Course_5,Technology,43.0,4792.0,62.598147478553216,Udemy,96.24669562956642,4.921968098570236
5,6.0,,Finance,66.0,3792.0,96.67190043026235,edX,127.5099201581192,3.2522834617959484
6,7.0,Course_7,Marketing,29.0,2607.0,71.83044120821306,Coursera,155.54111676492943,4.101806831865636
7,8.0,Course_8,Design,21.0,964.0,99.07627239878464,edX,79.94094433268505,3.0887304873261465
8,9.0,Course_9,Programming,57.0,1246.0,78.81762243572985,LinkedIn Learning,174.67747992086845,4.498471275642796
9,,Course_10,Design,59.0,489.0,58.89606775722345,edX,82.0948190093404,3.341867502083236
10,11.0,Course_11,Finance,80.0,3118.0,92.79344906357994,edX,194.04973359495344,3.716273441716622
11,12.0,Course_12,Data Science,88.0,1590.0,60.89317065137861,LinkedIn Learning,62.062786462699854,4.60411791834412
12,13.0,Course_13,Programming,23.0,3681.0,85.88238253372987,,187.51100477424197,3.5810959574040435
13,14.0,Course_14,Programming,61.0,3096.0,91.32513029519066,edX,50.72613533740817,4.213903901189946
14,15.0,Course_15,Business,42.0,3272.0,81.31929238657432,LinkedIn Learning,194.8424211961512,3.707730696797374
15,16.0,Course_16,Office Tools,40.0,1172.0,56.726895297941525,Coursera,24.66602546343537,3.051666260638941
16,17.0,Course_17,Programming,35.0,237.0,58.2347895101027,Udemy,60.79261168492662,3.1594239112548475
17,18.0,Course_18,Technology,67.0,4418.0,,LinkedIn Learning,147.75797734812406,3.5286665481097907
18,19.0,Course_19,Finance,21.0,1548.0,90.76913264707404,edX,45.057920745871485,3.801424621165619
19,20.0,,Marketing,17.0,2884.0,64.63250119591335,LinkedIn Learning,18.860433942063494,4.442078565026383
20,21.0,Course_21,Office Tools,48.0,1025.0,93.51465764557427,,19.11184521313023,4.270262092491025
21,22.0,Course_22,Data Science,62.0,2673.0,92.43578375976712,Udemy,140.88630874986984,3.928142296785201
22,23.0,Course_23,Office Tools,30.0,1258.0,92.67762193505844,Coursera,135.300874124823,4.579387883714226
23,24.0,Course_24,Office Tools,64.0,2598.0,51.29366135853743,Udemy,66.15181048252111,3.5316851549855253
24,25.0,Course_25,AI,30.0,1076.0,84.11985220897876,Coursera,135.8662127587786,3.029927217991226
25,26.0,Course_26,Finance,77.0,2996.0,62.59945850894012,Udemy,178.47268117131878,3.261758426965299
26,27.0,Course_27,Office Tools,15.0,2940.0,78.79583917707089,Coursera,120.63976857208824,
27,28.0,Course_28,Data Science,12.0,3613.0,53.06259535713104,Coursera,90.5638989973893,4.517857391618628
28,29.0,Course_29,Marketing,95.0,4489.0,56.861775797295536,edX,159.10918969364343,3.5708770248334587
29,30.0,Course_30,Design,60.0,2855.0,64.69834538693968,Udemy,115.26479652101077,4.676358859613266
30,31.0,Course_31,Marketing,47.0,2913.0,91.75641337475976,edX,113.62108734523764,3.564890433090773
31,32.0,Course_32,Design,26.0,4502.0,79.64014242730602,LinkedIn Learning,144.84705940587207,4.0321435304712185
32,33.0,Course_33,Technology,52.0,2241.0,63.33669579481848,LinkedIn Learning,62.53261867058303,4.623942405683767
33,34.0,,Business,14.0,974.0,61.32588690321183,edX,66.79180201167603,4.745948103203238
34,35.0,Course_35,Programming,15.0,1025.0,74.97968136286926,LinkedIn Learning,171.67945927377968,3.8723091146931954
35,36.0,Course_36,Office Tools,66.0,3603.0,86.38853847399912,Coursera,161.3441399074511,3.2532146256081056
36,37.0,Course_37,Programming,16.0,2179.0,78.08386216011831,edX,158.73985576616525,3.670443128501108
37,38.0,Course_38,Finance,41.0,178.0,80.50992601990427,Udemy,153.0854345943396,4.798317057006072
38,39.0,Course_39,AI,38.0,3989.0,66.40207521759572,Udemy,26.08560803800657,4.991139495183237
39,40.0,Course_40,Design,19.0,2883.0,55.63165319236443,Udemy,119.05294676970507,3.121747671004332
40,41.0,Course_41,Marketing,88.0,2840.0,78.83769934992179,Udemy,36.012941335039336,3.2747030928492475
